Adventure Map,,,,
D-12,Opposing witches from opposing worlds.,Zelda,Baton,2+
D-13,Final battle! Defeat the Demon King in Lorule Castle!,Link or Ravio,,1
D-14,Put an end to the enemy's divisive plan! Lv.4,anyone,,unknown
D-15,Scour the battlefield in pursuit of victory! Lv.11,anyone,,unknown
D-16,Final battle! Defeat the dragon of the Dark Palace!,Toon Link,,1
E-1,Scour the battlefield in pursuit of victory! Lv.6,anyone,,unknown
E-2,Thwart the supercharged enemies! Lv.2,anyone,,2+
E-3,Defeat the Dinolfos Forces!,Ravio,,2+
E-4,Team up and defeat the enemy forces! Lv.3,Ganondorf,,1
E-5,Hunt down and defeat your foes! Lv.13,anyone,,2+
E-6,Scour the battlefield in pursuit of victory! Lv.12,Zelda,,1
E-7,Watch out! All attacks are devastating! Lv.3,anyone,,unknown
E-8,Stop the Rogue Forces and defeat the enemy! Lv.3,anyone,,unknown
E-9,Scour the battlefield in pursuit of victory! Lv.7,anyone,,unknown
E-10,Defeat the disorderly forces! Lv.1,anyone,,unknown
E-11,Defeat the Copycat Soldiers! Lv.2,anyone,,2+
E-12,Defeat all Giant Bosses in time! Lv.5,anyone,,2+
E-13,Fight the chosen ones!,anyone,,unknown
E-14,Hunt down and defeat your foes! Lv.11,Lana,,2+
E-15,How sneaky! There are spies nearby!,anyone,,2+
E-16,Defeat the Fiery Aeralfos Forces! Lv.2,anyone,,2+
F-1,Stop the Rogue Forces and defeat the enemy! Lv.1,Linkle,Crossbow,2+
F-2,Fight through the action quiz!,Agitha,,1
F-3,Take on the warriors of Majora's Mask! Lv.1,anyone,,unknown
F-4,Thwart the supercharged enemies! Lv.1,Ruto,,1
F-5,Scour the battlefield in pursuit of victory! Lv.1,anyone,,2+
F-6,Defeat the Aeralfos Forces!,anyone,,unknown
F-7,Thwart the supercharged enemies! Lv.3,anyone,,2+
F-8,Destroy the army with boosted morale!,Ravio,,1
F-9,Use diversionary tactics to defeat the enemy! Lv.1,Link,Epona,2+
F-10,Defeat all enemies! Lv.1,anyone,,unknown
F-11,Hunt down and defeat your foes! Lv.3,Midna,,2+
F-12,Defeat all Giant Bosses in time! Lv.1,anyone,,2+
F-13,Destroy enemies and traitors alike! Lv.2,Ravio,,1
F-14,Defeat all Giant Bosses in time! Lv.3,anyone,,2+
F-15,Hunt down and defeat your foes! Lv.7,anyone,,2+
F-16,Defeat the disorderly forces! Lv.2,Link,Great Fairy,2+
G-1,Capture the enemy keeps! Lv.2,Link,Spinner,1
G-2,Destroy the army with boosted morale! Lv.3,Impa,Giant Blade,1
G-3,Scour the battlefield in pursuit of victory! Lv.2,Darunia,,2+
G-4,Defeat the Darknut Forces! Lv.1,Ravio,,1
G-5,Hunt down and defeat your foes! Lv.1,anyone,,2+
G-6,Hunt down and defeat your foes! Lv.10,Ganondorf,,2+
G-7,Final battle! Defeat the bird of Lake Hylia!,anyone,,2+
G-8,"Push, push! Shove, shove! Move that weight!",anyone,,2+
G-9,Final battle! Defeat the beast of the Desert Palace!,Cia,,1
G-10,Hunt down and defeat your foes! Lv.9,anyone,,2+
G-11,Destroy enemies and traitors alike! Lv.3,Zelda,Dominion Rod,1
G-12,Defeat the Copycat Soldiers! Lv.1,anyone,,2+
G-13,Defeat the Icy Big Poe Forces!,Yuga,,2+
G-14,A hyper-focused army unit advances!,Yuga,,1
G-15,Final battle! Defeat the dragon of Turtle Rock!,Sheik,,2+
G-16,Scour the battlefield in pursuit of victory! Lv.13,anyone,,2+
H-1,Stop the enemy merger! Lv.5,anyone,,2+
H-2,Hunt down and defeat your foes! Lv.12,Yuga,,2+
H-3,Watch out! All attacks are devastating! Lv.1,anyone,,unknown
H-4,Stop the enemy merger! Lv.1,anyone,,2+
H-5,Get more allied keeps and defeat the enemy! Lv.1,anyone,,2+
H-6,Defeat the warriors of Twilight!,anyone,,unknown
H-7,Stop the enemy merger! Lv.4,anyone,,2+
H-8,Fight through the legendary warrior quiz!,anyone,,unknown
H-9,Fight the heroes of the Wind Waker! Lv.2,Ganondorf,,2+
H-10,Put an end to the enemy's divisive plan! Lv.3,anyone,,unknown
H-11,Scour the battlefield in pursuit of victory! Lv.4,anyone,,2+
H-12,Final battle! Defeat the beast of Swamp Palace!,Medli,,2+
H-13,Put an end to the enemy's divisive plan! Lv.1,Medli,,1
H-14,Defeat all Giant Bosses in time! Lv.4,anyone,,unknown
H-15,Defeat all enemies! Lv.3,anyone,,unknown
H-16,Take on the warriors of Majora's Mask! Lv.2,anyone,,2+
Rewards Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-9,Live out the illustration \,not observed,,unknown
B-8,Live out the illustration \,not observed,,unknown
B-10,Live out the illustration \,not observed,,unknown
C-7,Live out the illustration \,not observed,,unknown
C-11,Live out the illustration \,not observed,,unknown
D-9,Live out the illustration \,not observed,,unknown
E-8,Live out the illustration \,not observed,,unknown
E-10,Live out the illustration \,not observed,,unknown
F-7,Live out the illustration \,not observed,,unknown
F-11,Live out the illustration \,not observed,,unknown
G-8,Live out the illustration \,not observed,,unknown
G-10,Live out the illustration \,not observed,,unknown
H-9,Live out the illustration \,not observed,,unknown
